ID	P0_1	P0_2	P0_3	P0_4	P50_1	P50_2	P50_3	P50_4	P100_1	P100_2	P100_3	P100_4	P200_1	P200_2	P200_3	P200_4
phoP	0.000215716	0.000216697	0.000233295	0.000224101	0.000194577	0.000231059	0.000210502	0.000213577	0.000222959	0.000226461	0.000225633	0.000217844	0.000207387	0.000211245	0.00019453	0.000199326
phoR	0.000720953	0.000746039	0.000773056	0.000782544	0.000719095	0.000800114	0.000745714	0.000758705	0.000784273	0.000760048	0.000768653	0.000790199	0.000743822	0.000725843	0.000737379	0.000713896
phoU	0.000372956	0.000378146	0.000393845	0.000371117	0.000378625	0.000388473	0.000393101	0.000379176	0.000379704	0.000381577	0.000387837	0.000375966	0.000374199	0.000380314	0.00038498	0.000374356
phoB	0.000190801	0.000194173	0.000199837	0.000190155	0.000194894	0.000217634	0.000191989	0.000205159	0.0001994	0.000199653	0.00019313	0.000197618	0.000201129	0.000192186	0.000194403	0.000181884
cqsS	0.0000172	0.0000214	0.0000251	0.0000238	0.0000328	0.0000262	0.0000277	0.0000264	0.0000225	0.0000293	0.0000213	0.0000277	0.000032	0.0000291	0.0000329	0.0000303
bglF	0.00000049	0.00000088	0.000000364	0.000000314	0.00000135	0.000000844	0.000000466	0.00000153	0.000000893	0.000000914	0.00000158	0.00000082	0.000000673	0.00000123	0.00000147	0.00000156
ugpB	0.000189642	0.000181539	0.000176581	0.000178605	0.000179536	0.000187256	0.000187661	0.000190206	0.000193836	0.000188321	0.000185714	0.000172745	0.000186864	0.000176388	0.00018452	0.000179237
phnE	0.0001785	0.000191843	0.000193097	0.000195499	0.000209617	0.000187946	0.00020331	0.000194916	0.000173985	0.000191489	0.000179087	0.000180193	0.000197428	0.000183055	0.000200524	0.000190096
ugpE	0.000099	0.0000979	0.000103471	0.0000937	0.000108608	0.000111694	0.000105884	0.000107672	0.0000999	0.0000959	0.0000933	0.000102294	0.00010154	0.000100151	0.0000977	0.0000982
pit	0.000473817	0.000474714	0.000490394	0.000485603	0.000475518	0.000477307	0.000494723	0.000489144	0.000503891	0.00048247	0.000482587	0.000502245	0.000492293	0.000484306	0.000516962	0.000517149
pstB	0.000473638	0.000489472	0.000482135	0.000489847	0.000470768	0.000463345	0.000478741	0.000480137	0.000471814	0.000481008	0.000479905	0.000458034	0.000465377	0.000469088	0.000467421	0.000463873
oprO_P	0.000206133	0.000215869	0.000243314	0.000228815	0.000209855	0.000243947	0.000214831	0.000216344	0.000241574	0.00023627	0.00021806	0.000219416	0.000225085	0.000209868	0.000219014	0.000182359
pstS	0.000694836	0.000705548	0.000706262	0.00071489	0.000685531	0.000719182	0.000695303	0.000681705	0.000702673	0.000715694	0.00071327	0.000712846	0.000696652	0.000703305	0.000687391	0.000679487
pstC	0.000599056	0.000602247	0.000583481	0.000596711	0.000577002	0.000594831	0.000579497	0.000586042	0.000589407	0.000582328	0.000593274	0.000584449	0.000589257	0.000588008	0.000589775	0.000590038
yjbB	0.000128939	0.000129449	0.000136504	0.000132166	0.000161963	0.000141842	0.000143642	0.000144171	0.000143076	0.000135986	0.000135775	0.000140834	0.000160352	0.00013182	0.000145117	0.000146186
ugpA	0.0000898	0.0000897	0.000100192	0.0000845	0.0000963	0.0000947	0.0000998	0.0000997	0.0000979	0.000100284	0.0000917	0.0000916	0.000094	0.0000938	0.0000967	0.0000934
K05833	0.0000204	0.0000194	0.0000171	0.0000207	0.0000175	0.0000183	0.0000167	0.0000205	0.0000188	0.0000218	0.0000156	0.0000191	0.0000173	0.0000221	0.0000188	0.0000174
phnD	0.000217498	0.000219545	0.000213743	0.000220329	0.000224737	0.000215256	0.000227017	0.000228295	0.000231202	0.000218723	0.000214115	0.000206228	0.000219903	0.000231826	0.000222393	0.000234074
ppk	0.001153945	0.001182799	0.001237643	0.001221866	0.001172052	0.00120416	0.001202745	0.001198222	0.001228819	0.001197799	0.001217237	0.00119343	0.001211419	0.00120138	0.001217743	0.001184284
K07220	0.000266926	0.000266975	0.000274951	0.000269518	0.000260439	0.000259212	0.000259382	0.000273683	0.00026898	0.000261066	0.000262319	0.000270597	0.000265526	0.000261683	0.00024879	0.000273166
phnC	0.000103044	0.000101022	0.000104503	0.000103407	0.000110429	0.00010548	0.000108414	0.00010255	0.0000931	0.000107595	0.000100746	0.000100791	0.00010255	0.000105079	0.000105905	0.000106009
pstA	0.000556404	0.000549795	0.000545894	0.000540921	0.000550404	0.000547115	0.000542071	0.000547012	0.000546889	0.000539801	0.000547989	0.000554383	0.000554401	0.000544455	0.00053067	0.000554136
ugpC	0.0000818	0.0000848	0.0000873	0.000086	0.0000884	0.0000921	0.0000848	0.0000912	0.0000887	0.000089	0.0000891	0.0000915	0.0000968	0.0000823	0.0000944	0.0000858
phnV	0.000000535	0.000000777	0.00000085	0.000000629	0.000000396	0.000000307	0.000000666	0.000000471	0.000000481	0.000000914	0.000000947	0.000000888	0.00000175	0.00000109	0.00000153	0.00000129
glpP	0.0000033	0.00000326	0.00000298	0.00000173	0.00000325	0.00000253	0.000003	0.00000212	0.00000488	0.00000366	0.00000323	0.00000232	0.00000316	0.0000037	0.00000198	0.00000387
